game_name,percent_positive_reviews,genre,Action,Adventure,Casual,Design_and_Illustration,Early_Access,Free_to_Play,Indie,Massively_Multiplayer,RPG,Racing,Simulation,Sports,Strategy,Utilities
PRINCE OF PERSIA: THE TWO THRONES™,77,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
TOM CLANCY'S RAINBOW SIX® VEGAS,78,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TOM CLANCY'S SPLINTER CELL®,86,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TOM CLANCY'S SPLINTER CELL CHAOS THEORY®,93,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TOM CLANCY'S SPLINTER CELL DOUBLE AGENT®,44,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PRINCE OF PERSIA®: THE SANDS OF TIME,87,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
RAYMAN RAVING RABBIDS™,75,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
ASSASSIN'S CREED™: DIRECTOR'S CUT EDITION,83,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
TOM CLANCY'S RAINBOW SIX® VEGAS 2,85,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BEYOND GOOD AND EVIL™,91,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
HEROES OF MIGHT & MAGIC V,87,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BROTHERS IN ARMS: ROAD TO HILL 30™,86,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SILENT HUNTER®: WOLVES OF THE PACIFIC,65,Simulation,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SILENT HUNTER® III,86,Simulation,0,0,0,0,0,0,0,0,0,0,1,0,0,0
COLD FEAR™,87,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TOM CLANCY'S GHOST RECON®,92,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IL-2 STURMOVIK: 1946,87,Simulation,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HEROES OF MIGHT & MAGIC V: TRIBES OF THE EAST,92,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BROTHERS IN ARMS: HELL'S HIGHWAY™,89,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
THE WONDERFUL END OF THE WORLD,75,"Indie,Casual",0,0,1,0,0,0,1,0,0,0,0,0,0,0
AAAAAA!!! - A RECKLESS DISREGARD FOR GRAVITY,84,"Action,Indie,Sports",1,0,0,0,0,0,1,0,0,0,0,1,0,0
AAAAAAAAAAAAAAAAAAAAAAAAA!!! FOR THE AWESOME,75,"Action,Indie,Sports",1,0,0,0,0,0,1,0,0,0,0,1,0,0
"WARHAMMER 40,000: DAWN OF WAR II",88,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ODDWORLD: ABE'S ODDYSEE®,86,Adventure,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ODDWORLD: MUNCH'S ODDYSEE,74,"Action,Adventure,Strategy",1,1,0,0,0,0,0,0,0,0,0,0,1,0
ODDWORLD: STRANGER'S WRATH HD,85,"Action,Adventure,Strategy",1,1,0,0,0,0,0,0,0,0,0,0,1,0
F.E.A.R. 2: PROJECT ORIGIN,87,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIALS 2: SECOND EDITION,84,"Indie,Racing,Sports",0,0,0,0,0,0,1,0,0,1,0,1,0,0
INSECTICIDE PART 1,74,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
LEGENDARY,52,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SID MEIER'S CIVILIZATION IV: COLONIZATION,78,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
GROUND BRANCH,81,"Action,Indie,Early Access",1,0,0,0,1,0,1,0,0,0,0,0,0,0
CHILDREN OF THE NILE: ENHANCED EDITION,83,"Strategy,Simulation",0,0,0,0,0,0,0,0,0,0,1,0,1,0
HINTERLAND,75,"RPG,Strategy",0,0,0,0,0,0,0,0,1,0,0,0,1,0
CRYSIS,83,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CRYSIS WARHEAD®,84,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SPORE™,88,Simulation,0,0,0,0,0,0,0,0,0,0,1,0,0,0
