,name,percent_positive_reviews
560,Puzzle Agent,88.0
581,Everyday Genius: SquareLogic,98.0
582,Zombie Bowl-o-Rama,85.0
584,Indiana Jones® and the Last Crusade™,79.0
585,LEGO® Indiana Jones™: The Original Adventures,78.0
586,LOOM™,88.0
587,STAR WARS™ Starfighter™,48.0
588,The Secret of Monkey Island: Special Edition,95.0
589,STAR WARS™ - Knights of the Old Republic™,88.0
590,STAR WARS™ Jedi Knight: Dark Forces II,71.0
591,STAR WARS™ Jedi Knight - Mysteries of the Sith™,66.0
592,STAR WARS™ - Dark Forces,90.0
594,STAR WARS™: The Clone Wars - Republic Heroes™,37.0
595,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,62.0
596,LEGO® Star Wars™ - The Complete Saga,92.0
597,LEGO® Indiana Jones™ 2: The Adventure Continues,74.0
598,Monkey Island™ 2 Special Edition: LeChuck’s Revenge™,95.0
599,STAR WARS™ Empire at War - Gold Pack,94.0
600,STAR WARS™: The Force Unleashed™ II,58.0
601,LEGO® Star Wars™ III - The Clone Wars™,85.0
603,Delta Force,90.0
604,Delta Force 2,86.0
605,Delta Force Land Warrior,92.0
608,Delta Force: Black Hawk Down,92.0
609,Delta Force — Black Hawk Down: Team Sabre,91.0
615,Tachyon: The Fringe,87.0
616,Joint Operations: Combined Arms Gold,88.0
617,Restaurant Empire II,63.0
618,Alien Shooter,90.0
619,Alien Shooter: Revisited,66.0
620,Alien Shooter 2: Reloaded,92.0
621,Zombie Shooter,85.0
622,Zombie Shooter 2,77.0
623,Assassin's Creed 2 Deluxe Edition,85.0
624,Prince of Persia: The Forgotten Sands™,66.0
626,From Dust,64.0
627,Tropico Reloaded,87.0
628,Patrician III,77.0
629,Broken Sword 2 - the Smoking Mirror: Remastered,89.0
630,Broken Sword 3 - the Sleeping Dragon,52.0
631,Crash Time 3,78.0
632,Puzzler World,89.0
634,Disciples III - Renaissance Steam Special Edition,55.0
635,eversion,91.0
637,Drakensang: The River of Time,81.0
639,Arma 2,83.0
640,Arma 2: Operation Arrowhead,92.0
641,Fish Fillets 2,73.0
644,Alpha Protocol™,80.0
645,Total War: NAPOLEON – Definitive Edition,90.0
646,Sonic & SEGA All-Stars Racing,78.0
647,Death to Spies: Moment of Truth,86.0
650,Order of War™,73.0
655,Combat Wings: Battle of Britain,79.0
656,Sniper: Ghost Warrior,55.0
657,Sniper: Ghost Warrior 2,71.0
658,Bad Rats: the Rats' Revenge,78.0
660,Mini Ninjas,86.0
662,Lara Croft and the Guardian of Light,91.0
663,Batman: Arkham Asylum Game of the Year Edition,96.0
666,Insane 2,83.0
667,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,92.0
668,The Ball,74.0
669,Dwarfs!?,78.0
671,Trine Enchanted Edition,96.0
672,Trine 2: Complete Story,96.0
673,BRAINPIPE: A Plunge to Unhumanity,85.0
674,Foreign Legion: Buckets of Blood,62.0
685,The Void,82.0
686,Ninja Blade,64.0
687,UFO: Extraterrestrials Gold,74.0
704,"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",81.0
706,Windosill,91.0
707,Darkest of Days,71.0
724,Roogoo,81.0
726,Fallout: A Post Nuclear Role Playing Game,92.0
727,Fallout 2: A Post Nuclear Role Playing Game,94.0
728,Fallout Tactics: Brotherhood of Steel,80.0
729,Kingpin — Life of Crime,80.0
730,MDK,75.0
733,Faerie Solitaire,91.0
734,Toki Tori,88.0
735,RUSH,90.0
736,EDGE,92.0
737,Moonbase Alpha,89.0
738,SEASON OF MYSTERY: The Cherry Blossom Murders,78.0
739,RIFT,75.0
740,FINAL FANTASY VII,93.0
741,FINAL FANTASY VIII,89.0
742,Dungeon Siege,75.0
743,Dungeon Siege II,70.0
744,FINAL FANTASY XIV Online,82.0
745,Gothic® 3,80.0
746,Gothic II: Gold Edition,89.0
747,The Guild Gold Edition,70.0
748,SpellForce - Platinum Edition,82.0
750,AquaNox,73.0
751,AquaNox 2: Revelation,75.0
752,The Guild II,66.0
753,The Guild II - Pirates of the European Seas,69.0
754,Chaser,73.0
755,The Guild II Renaissance,80.0
756,ArcaniA,49.0
757,Nation Red,88.0
759,Supreme Commander 2,86.0
762,Risen,87.0
764,Secret Files: Tunguska,81.0
766,Lost Horizon,89.0
767,nail'd,80.0
768,Risen 2: Dark Waters,77.0
769,AI War: Fleet Command,84.0
770,Tidalis,66.0
772,Machinarium,95.0
773,Samorost 2,83.0
774,The Misadventures of P.B. Winterbottom,88.0
775,Stronghold HD,94.0
776,Stronghold Crusader HD,96.0
777,Stronghold Legends: Steam Edition,77.0
778,Mafia,91.0
779,Serious Sam HD: The First Encounter,94.0
780,Serious Sam 3: BFE,89.0
781,Hammerfight,67.0
782,Altitude,92.0
784,Torchlight,92.0
788,S.T.A.L.K.E.R.: Call of Pripyat,96.0
789,Cargo! The Quest for Gravity,78.0
790,Gratuitous Space Battles,75.0
791,The Bard's Tale,77.0
793,Lead and Gold: Gangs of the Wild West,73.0
794,Hamilton's Great Adventure,67.0
795,Krater,57.0
799,DogFighter,60.0
800,Singularity™,92.0
801,Call of Duty®: Black Ops,89.0
803,Arsenal of Democracy: A Hearts of Iron Game,85.0
804,Sword of the Stars: Complete Collection,89.0
805,Magicka,91.0
810,Victoria II,88.0
812,Sword of the Stars II: Enhanced Edition,43.0
813,Front Mission Evolved,61.0
814,World of Zoo,79.0
815,The Haunted: Hells Reach,86.0
819,GRID 2,80.0
820,F1 2011,68.0
823,GT Legends,89.0
824,Sol Survivor,91.0
825,Secret of the Magic Crystals,84.0
826,Wings of Prey,68.0
827,Fortix,92.0
828,Ignite,57.0
830,Fortix 2,91.0
831,Devil May Cry 4,92.0
832,Dark Void™,49.0
833,Lost Planet: Extreme Condition Colonies Edition,59.0
834,Dark Void™ Zero,48.0
835,Dead Rising® 2,74.0
836,Lost Planet® 2,66.0
837,Ultra Street Fighter® IV,88.0
838,Dead Rising 2: Off the Record,79.0
841,NecroVisioN: Lost Company,70.0
842,Star Wolves 3: Civil War,78.0
843,Star Wolves,81.0
845,Theatre of War,57.0
849,Rig n Roll,49.0
851,Greed: Black Border,41.0
852,Avencast: Rise of the Mage,67.0
854,Grotesque Tactics: Evil Heroes,61.0
855,Still Life,81.0
856,Still Life 2,44.0
857,Syberia,89.0
858,Syberia II,85.0
859,Wasteland Angel,58.0
860,Trapped Dead,39.0
862,Grotesque Tactics 2 – Dungeons and Donuts,54.0
869,Dark Fall: Lost Souls,63.0
871,Making History II: The War of the World,77.0
879,Stronghold 3 Gold,29.0
880,Stronghold Kingdoms,65.0
881,Command & Conquer 4: Tiberian Twilight,18.0
883,Dead Space™ 2,95.0
884,Medal of Honor™,70.0
885,RISK™: Factions,65.0
886,Dragon Age: Origins - Ultimate Edition,92.0
887,Need For Speed: Hot Pursuit,80.0
888,The Sims™ 3,82.0
889,Shift 2 Unleashed,63.0
890,LIMBO,94.0
891,Silent Hunter 5®: Battle of the Atlantic,41.0
893,Assassin’s Creed® Brotherhood,88.0
894,Anno 2070™,61.0
895,Mount & Blade: Warband,97.0
896,Mount & Blade: With Fire & Sword,86.0
897,Ship Simulator Extremes,46.0
898,Greed Corp,85.0
902,Magic: The Gathering - Duels of the Planeswalkers 2012,88.0
903,Borderlands 2,93.0
904,Beat Hazard,95.0
906,CreaVures,82.0
907,Plain Sight,68.0
908,Nimbus,95.0
909,Mafia II,94.0
910,Spec Ops: The Line,93.0
925,Flotilla,87.0
926,Atom Zombie Smasher,89.0
927,Homefront,60.0
928,Red Faction®: Armageddon™,73.0
929,MX vs. ATV Reflex,82.0
930,"Warhammer 40,000: Space Marine",91.0
931,Saints Row: The Third,96.0
933,Puzzle Dimension,91.0
934,Amnesia: The Dark Descent,94.0
935,Patrician IV - Steam Special Edition,54.0
936,Broken Sword: Director's Cut,91.0
937,Dungeons,45.0
938,The First Templar - Steam Special Edition,69.0
939,Tropico 4,91.0
941,Jagged Alliance - Back in Action,68.0
943,Duke Nukem Forever,66.0
944,Jolly Rover,89.0
947,Blood Bowl - Legendary Edition,75.0
948,A Game of Thrones - Genesis,32.0
949,Runaway: A Twist of Fate,85.0
950,The Next BIG Thing,86.0
951,Wargame: European Escalation,77.0
957,Lucid,76.0
958,Fractal: Make Blooms Not War,76.0
959,Age of Wonders,77.0
960,Age of Wonders II: The Wizard's Throne,79.0
961,Age of Wonders Shadow Magic,87.0
962,Zen Bound 2,87.0
963,Might & Magic: Clash of Heroes,89.0
964,Critter Crunch,95.0
965,Flight Control HD,92.0
966,Chime,94.0
967,HOARD,80.0
968,Alter Ego,70.0
969,Monday Night Combat,78.0
970,Swords and Soldiers HD,78.0
971,Riven: The Sequel to MYST,74.0
973,Myst: Masterpiece Edition,66.0
974,BIT.TRIP BEAT,81.0
975,BIT.TRIP RUNNER,86.0
976,Delve Deeper,59.0
977,Fantasy Wars,80.0
978,King's Bounty: Crossworlds,91.0
979,Men of War: Vietnam,62.0
981,Men of War: Assault Squad,87.0
984,Demolition Company Gold Edition,84.0
987,SpellForce 2: Faith in Destiny,60.0
988,Gothic 1,87.0
989,Painkiller Redemption,51.0
990,Gothic 3: Forsaken Gods Enhanced Edition,49.0
991,ArcaniA: Fall of Setarrif,35.0
992,Pat & Mat,83.0
993,Take On Helicopters,57.0
994,Carrier Command: Gaea Mission,45.0
995,ARMA: Gold Edition,72.0
996,ARMA: Cold War Assault,77.0
997,Dungeon Defenders,92.0
998,The Bureau: XCOM Declassified,70.0
999,Sid Meier's Civilization®: Beyond Earth™,54.0
1000,The Polynomial - Space of the music,74.0
1001,The Darkness II,91.0
1002,Dino D-Day,84.0
1003,Hacker Evolution,66.0
1004,Hacker Evolution: Untold,56.0
1005,Hacker Evolution Duality,37.0
1007,Governor of Poker 2 - Premium Edition,84.0
1008,VVVVVV,96.0
1009,Recettear: An Item Shop's Tale,97.0
1010,Chantelise - A Tale of Two Sisters,75.0
1012,Worms Ultimate Mayhem,87.0
1013,Worms Crazy Golf,82.0
1014,Worms,86.0
1015,Worms Blast,50.0
1016,Worms Pinball,43.0
1017,Star Ruler,84.0
1018,Evochron Mercenary,79.0
1019,Crazy Taxi,82.0
1020,SEGA Bass Fishing,84.0
1021,Space Channel 5: Part 2,89.0
1022,Sonic Generations Collection,92.0
1023,Closure,86.0
1024,Clones,75.0
1025,The Elder Scrolls V: Skyrim,94.0
1026,Winter Voices,64.0
1027,Cities in Motion,77.0
1029,Darkest Hour: A Hearts of Iron Game,88.0
1031,Sengoku,65.0
1032,Supreme Ruler: Cold War,65.0
1033,Bejeweled® 3,95.0
1035,Fate of the World,77.0
1036,Puzzle Bots,74.0
1037,Gemini Rue,90.0
1038,The Blackwell Legacy,89.0
1039,Blackwell Unbound,93.0
1040,Blackwell Convergence,96.0
1041,Blackwell Deception,97.0
1042,Farming Simulator 2011,83.0
1044,SkyDrift,89.0
1045,Anomaly: Warzone Earth,87.0
1046,Iron Front: Digital War Edition,61.0
1047,Sanctum,90.0
1048,E.Y.E: Divine Cybermancy,83.0
1051,Post Apocalyptic Mayhem,84.0
1052,Hydrophobia: Prophecy,61.0
1053,DETOUR,62.0
1054,Gundemonium Recollection,94.0
1055,Hitogata Happa,83.0
1056,GundeadliGne,85.0
1057,A.R.E.S.: Extinction Agenda,69.0
1059,Xotic,76.0
1061,SpaceChem,92.0
1063,Revenge of the Titans,84.0
1064,Dinner Date,55.0
1065,Jamestown,95.0
1066,The Dream Machine: Chapter 1 & 2,92.0
1067,Nidhogg,88.0
1068,Puzzle Agent 2,87.0
1069,Hector: Badge of Carnage - Full Series,92.0
1070,Super Splatters,77.0
1071,Capsized,77.0
1072,ibb & obb,94.0
1073,The Cat and the Coup,94.0
1074,Air Conflicts: Secret Wars,60.0
1075,The Tiny Bang Story,87.0
1076,Defy Gravity Extended,86.0
1077,Steel Storm: Burning Retribution,61.0
1078,Nexuiz,61.0
1080,Solar 2,91.0
1081,Section 8®: Prejudice™,77.0
1085,Magic: The Gathering - Duels of the Planeswalkers 2013,88.0
1086,Trauma,69.0
1087,Frozen Synapse,82.0
1088,Toy Soldiers,91.0
1089,Hard Reset Extended Edition,83.0
1090,Naval Warfare,53.0
1091,Demolition Inc.,79.0
1092,Dungeons of Dredmor,94.0
1093,Alien Hallway,61.0
1096,Renegade Ops,86.0
1097,Garshasp: The Monster Slayer,48.0
1099,NightSky,88.0
1100,Spiral Knights,83.0
1101,Puzzle Pirates,80.0
1103,Runespell: Overture,77.0
