game_name,percent_positive_reviews,genre,Action,Adventure,Casual,Design_and_Illustration,Early_Access,Free_to_Play,Indie,Massively_Multiplayer,RPG,Racing,Simulation,Sports,Strategy,Utilities
"RUNAWAY, A ROAD ADVENTURE",72.0,Adventure,0,1,0,0,0,0,0,0,0,0,0,0,0,0
X-BLADES,61.0,"Action,Adventure,RPG",1,1,0,0,0,0,0,0,1,0,0,0,0,0
TWO WORLDS II HD,60.0,RPG,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SID MEIER'S RAILROADS!,66.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
RAILROAD TYCOON 3,70.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
RAILROAD TYCOON II PLATINUM,84.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
X-COM: TERROR FROM THE DEEP,92.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
X-COM: UFO DEFENSE,94.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MEN OF WAR™,87.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NECROVISION,67.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CALL OF DUTY® 4: MODERN WARFARE®,91.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TOMB RAIDER: ANNIVERSARY,83.0,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
KANE AND LYNCH: DEAD MEN™,63.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TOMB RAIDER: UNDERWORLD,75.0,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
BATTLESTATIONS PACIFIC,65.0,"Action,Strategy",1,0,0,0,0,0,0,0,0,0,0,0,1,0
JUST CAUSE 2,91.0,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
STRONG BAD'S COOL GAME FOR ATTRACTIVE PEOPLE: SEASON 1,90.0,Adventure,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GEOMETRY WARS: RETRO EVOLVED,90.0,Casual,0,0,1,0,0,0,0,0,0,0,0,0,0,0
EVE ONLINE,75.0,"Action,Free to Play,Massively Multiplayer,RPG,Strategy",1,0,0,0,0,1,0,1,1,0,0,0,1,0
RACE 07,83.0,Racing,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CIVILIZATION IV: BEYOND THE SWORD,95.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BIOSHOCK INFINITE,95.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FREEDOM FORCE,57.0,"RPG,Strategy",0,0,0,0,0,0,0,0,1,0,0,0,1,0
FREEDOM FORCE VS. THE THIRD REICH,81.0,"RPG,Strategy",0,0,0,0,0,0,0,0,1,0,0,0,1,0
SID MEIER'S CIVILIZATION® V,96.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SPEAR OF DESTINY,85.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RETURN TO CASTLE WOLFENSTEIN,92.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DOOM 3,88.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HEXEN II,82.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
COMMANDER KEEN,94.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RAGE,77.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"WARHAMMER® 40,000: DAWN OF WAR® – WINTER ASSAULT",89.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
